size,processes,time_ms
200,1,83.3859
200,1,83.9539
200,1,83.461
200,2,42.902
200,2,42.9912
200,2,41.6281
200,4,20.808
200,4,21.9579
200,4,22.2812
200,8,10.6771
200,8,11.174
200,8,10.854
400,1,657.347
400,1,657.772
400,1,657.071
400,2,329.459
400,2,329.11
400,2,329.365
400,4,166.292
400,4,166.061
400,4,166.457
400,8,82.978
400,8,82.7081
400,8,82.746
800,1,4868.92
800,1,4863.77
800,1,4873.64
800,2,2552.68
800,2,2554.38
800,2,2555.9
800,4,1325.65
800,4,1331.21
800,4,1334.98
800,8,715.206
800,8,671.705
800,8,670.963
1200,1,15897.3
1200,1,15943.6
1200,1,15874.2
1200,2,8085.88
1200,2,8090.18
1200,2,8076.2
1200,4,4295.12
1200,4,4272.25
1200,4,4260.37
1200,8,2235.51
1200,8,2237.79
1200,8,2236.89
1600,1,38189.9
1600,1,37740.1
1600,1,37824
1600,2,19042.7
1600,2,19028.8
1600,2,19067
1600,4,9876.63
1600,4,9844.69
1600,4,9827.59
1600,8,5085.15
1600,8,5086.76
1600,8,5085.64
2000,1,73563.1
2000,1,73906.9
2000,1,73728.2
2000,2,36914.9
2000,2,37068.2
2000,2,36972.9
2000,4,19147.5
2000,4,18756.1
2000,4,19136.3
2000,8,9767.97
2000,8,9759.65
2000,8,9773.06
